timestamp;red;blue
688;196;
689;187;
690;195;
725;186;
762;193;
781;175;
793;192;
802;193;
871;202;
897;202;
902;199;
907;216;
944;193;
945;194;
958;195;
1053;193;
1057;190;
1057;199;
1062;200;
1097;197;
1101;197;
1114;198;
1163;192;
1163;192;
1193;190;
1211;198;
1212;;0
1231;;0
1239;;0
1244;;0
1250;212;
1253;;0
1253;;0
1262;201;
1265;;0
1269;192;
1280;;0
1285;194;
1285;200;
1286;186;
1294;;0
1295;;0
1296;198;
1311;226;
1318;;0
1339;;0
1365;;0
1378;;0
1380;;0
1408;;0
1418;;0
1421;;0
1423;;0
1427;;0
1432;;0
1438;;0
1447;;0
1449;198;
1459;;0
1462;198;
1483;197;
1491;197;
1511;;0
1517;175;
1521;;0
1531;205;
1546;;0
1548;199;
1554;210;
1559;;0
1560;198;
1561;202;
1588;;0
1590;;0
1590;;0
1595;215;
1597;;0
1605;;0
1611;;0
1627;;0
1640;188;
1660;204;
1662;;0
1703;;0
1705;;0
1716;;0
1719;198;
1719;;0
1725;;0
1739;;0
1744;;0
1747;;0
1757;;0
1762;;0
1768;;0
1776;;0
1780;;0
1798;194;
1803;196;
1805;;0
1841;;0
1861;191;
1862;188;
1865;;0
1870;;0
1876;186;
1903;193;
1940;175;
1998;;0
2007;197;
2011;;0
2016;197;
2028;201;
2039;;0
2061;;0
2088;192;
2095;;0
2097;;0
2098;;0
2104;;0
2111;;0
2127;190;
2132;199;
2139;;0
2151;197;
2172;;0
2178;;0
2191;200;
2229;200;
2235;;0
2251;196;
2284;;0
2303;198;
2315;;0
2327;;0
2340;208;
2374;202;
2387;;0
2387;210;
2393;188;
2405;;0
2438;;0
2439;;0
2457;193;
2463;;0
2468;;0
2475;;0
2485;;0
2494;;0
2518;;0
2543;;0
2561;;0
2583;199;
2635;;0
2638;198;
2640;222;
2671;;0
2672;190;
2689;;0
2706;;0
2711;;0
2736;195;
2743;203;
2773;;0
2779;195;
2785;;0
2786;196;
2786;;0
2809;;0
2819;;-1
2838;194;
2841;;0
2858;;-1
2860;;0
2873;;0
2876;;0
2934;;0
2939;;0
2951;198;
2975;;0
3024;195;
3043;195;
3080;192;
3096;;0
3103;192;
3129;;0
3153;;0
3157;;0
3181;194;
3205;194;
3205;229;
3224;;0
3244;;0
3244;203;
3265;;0
3272;;0
3276;;0
3278;;0
3311;201;
3316;186;
3321;;0
3330;177;
3336;191;
3336;;0
3346;;0
3375;197;
3405;;0
3465;192;
3486;;0
3490;;0
3531;;0
3536;;0
3595;200;
3600;;0
3613;234;
3646;;0
3661;;0
3668;;0
3673;;0
3702;;0
3706;;0
3733;;0
3794;;0
3801;195;
3806;198;
3822;;0
3863;;0
3868;190;
3872;;0
3876;;0
3883;;0
3883;;0
3922;;0
3934;;0
4005;;0
4022;186;
4032;196;
4087;;0
4126;;0
4207;;0
4258;;0
4282;1117;
4284;203;
4290;1127;
4333;;0
4337;;0
4354;202;
4365;;0
4380;;0
4382;;0
4443;;0
4476;195;
4481;192;
4546;;0
4560;;0
4564;189;
4582;;0
4635;;0
4636;;0
4644;;0
4649;;0
4666;;0
4673;;0
4676;198;
4709;;0
4719;;0
4780;190;
4792;;0
4795;;0
4804;1231;
4808;;0
4816;;0
4816;186;
4863;;0
4873;1121;
4885;;0
4907;;0
4907;;0
4913;;0
4915;196;
4927;;0
4944;;0
4963;;0
4969;193;
5017;;0
5021;;0
5105;;0
5120;;0
5146;;0
5167;200;
5188;;0
5239;;0
5259;;0
5273;;0
5274;;0
5275;195;
5294;;0
5296;194;
5352;1116;
5372;;0
5378;;0
5438;;0
5475;;0
5476;;0
5560;190;
5813;;0
5816;;0
5858;;0
5872;;0
5886;;0
5926;;0
5935;;0
5946;1100;
5956;;0
5961;;0
5979;;0
5986;;0
5993;;0
5997;;0
6002;;0
6007;196;
6012;;0
6028;;0
6062;;0
6065;;0
6079;216;
6103;;0
6124;;0
6132;;0
6135;;0
6156;202;
6177;;0
6179;;0
6185;175;
6229;194;
6233;1129;
6241;;0
6256;214;
6261;;0
6263;;0
6265;;0
6266;;0
6293;;0
6295;;0
6345;;0
6351;;0
6375;;0
6377;;0
6382;;0
6398;;0
6415;;0
6417;;0
6429;193;
6459;;0
6479;;0
6506;200;
6525;;0
6559;;0
6602;;-1
6608;;0
6623;202;
6649;1022;
6683;;0
6683;;0
6690;;0
6700;;0
6701;;0
6752;;0
6763;;0
6773;;0
6777;;0
6788;;0
6821;;0
6853;226;
6859;;0
6876;;0
6885;;0
6891;200;
6893;;0
6925;;0
6934;203;
6949;;0
6980;;0
6990;;0
6995;;0
7006;;0
7010;214;
7034;211;
7053;;0
7059;;0
7094;;0
7104;1105;
7104;211;
7112;224;
7117;;0
7122;;0
7122;;0
7136;;0
7146;;0
7150;;0
7155;;0
7162;186;
7203;;0
7224;188;
7262;;0
7267;;0
7275;171;
7291;;23
7301;;0
7337;183;
7342;;0
7360;;0
7372;;0
7394;;0
7414;;0
7464;;0
7468;;0
7477;1119;
7477;195;
7484;;0
7508;178;
7520;;0
7524;;0
7540;;0
7545;;0
7552;;0
7561;;0
7589;174;
7610;;0
7618;191;
7619;228;
7626;;0
7627;;0
7628;;0
7629;;0
7662;;0
7680;;0
7710;;0
7717;;0
7721;;0
7722;;0
7773;;0
7805;;0
7806;;0
7821;215;
7823;;0
7828;;0
7855;;0
7900;;0
7916;200;
7920;;0
7924;;0
7928;;0
7941;;0
7944;;0
7946;1114;
7948;;0
7953;;0
7955;;0
7956;;0
7972;;0
7999;;0
8007;;0
8008;;0
8029;;0
8048;;0
8050;;0
8055;;0
8071;;0
8080;;0
8082;191;
8098;;0
8100;;0
8124;;0
8169;;0
8172;;0
8173;;0
8185;;0
8189;222;
8192;;0
8211;215;
8228;223;
8228;193;
8243;;0
8256;;0
8262;;0
8266;216;
8291;;0
8301;;0
8360;;0
8363;;0
8392;;0
8397;;0
8407;;0
8416;;-1
8420;;0
8427;;0
8441;;0
8442;;0
8444;;0
8451;;0
8459;;0
8464;220;
8467;;0
8476;;0
8492;;0
8495;;-130
8500;;0
8506;193;
8521;;0
8524;;0
8539;;0
8548;;0
8549;;0
8559;;0
8561;;0
8568;;0
8622;;0
8654;;0
8665;;0
8725;;0
8750;;0
8771;;0
8821;;0
8842;191;
8846;;0
8858;;0
8867;;0
8920;;0
8931;190;
8955;;0
8957;172;
8966;;0
8983;;0
8985;;0
8985;;0
8990;169;
8996;215;
9007;;0
9019;;0
9034;;0
9040;;0
9048;;0
9066;;0
9084;;0
9087;;0
9103;;0
9122;;0
9127;;0
9152;;0
9183;;0
9210;;0
9211;;0
9214;;0
9256;;0
9278;;0
9289;;0
9307;;0
9309;;0
9321;;0
9333;224;
9339;;0
9359;;0
9362;;0
9371;;0
9387;;0
9395;;0
9404;;0
9408;;0
9428;;0
9433;;0
9434;;0
9442;;80
9459;;0
9484;;0
9489;;-1
9508;;0
9529;;0
9530;;0
9533;;0
9548;;0
9569;;0
9570;;10
9572;;0
9574;1115;
9576;;0
9579;;0
9581;166;
9590;;0
9593;;0
9594;;0
9616;;0
9625;177;
9632;;0
9640;166;
9645;;0
9662;;0
9681;;101
9691;;0
9706;;0
9709;;0
9712;;0
9744;;0
9746;;0
9760;;0
9761;;0
9773;;0
9792;;0
9794;;0
9838;;0
9889;198;
9904;;0
9907;;0
9916;;0
9951;;0
9957;;0
9958;172;
9959;;0
9963;;0
9981;;0
10013;;0
10032;;0
10066;169;
10070;;0
10096;;0
10133;;0
10148;;0
10153;;0
10190;;0
10192;;0
10205;194;
10226;171;
10236;;0
10242;;0
10244;;0
10258;;0
10265;;0
10276;;0
10308;;0
10311;;0
10311;;0
10330;;0
10358;;0
10440;226;
10445;;0
10467;;0
10474;;0
10507;;0
10549;;0
10557;;0
10580;;0
10590;;-1
10595;187;
10603;;0
10630;;0
10643;;0
10650;;0
10652;;0
10673;;0
10755;168;
10770;;-1
10783;;0
10819;;0
10826;;-1
10828;;0
10830;;0
10848;;0
10853;;0
10867;;0
10875;220;
10911;;0
10949;175;
10963;;0
11018;;0
11035;181;
11038;;0
11065;;0
11067;187;
11073;;0
11085;;0
11103;;0
11139;;0
11144;;0
11147;;0
11223;;0
11231;;0
11233;;0
11240;;0
11261;;0
11280;;0
11293;;0
11294;;0
11389;;0
11390;;0
11399;;0
11410;;0
11439;;0
11441;195;
11447;;100
